"Term";"Estimate";"Std_error";"Statistic";"P_value";"Model";"Framework";"Model_class";"Formula";"Odds_ratio";"CI_low";"CI_high";"N_species";"N_events"
"(Intercept)";-3.43206136715244;0.267990850733849;-12.8066363376;0.000000000000000000000000000000000000150519056824797;"M2_logistic_accessibility";"Accessibility and exposure";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_native_range_L3 + z_log_GBIF_10km_cells +      z_GHS_mean_exposure";0.0323202481596271;0.0191142063089778;0.0546503696891268;;
"z_log_native_range_L3";-0.154429837348831;0.112020255442026;-1.37858851276012;0.168021660305812;"M2_logistic_accessibility";"Accessibility and exposure";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_native_range_L3 + z_log_GBIF_10km_cells +      z_GHS_mean_exposure";0.856903612662226;0.687984109470624;1.06729761819437;;
"z_log_GBIF_10km_cells";1.4350913017011;0.162773418228706;8.81649668181521;0.0000000000000000011809669939915;"M2_logistic_accessibility";"Accessibility and exposure";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_native_range_L3 + z_log_GBIF_10km_cells +      z_GHS_mean_exposure";4.20002846102591;3.05278839846929;5.77840215924325;;
"z_GHS_mean_exposure";0.807565351229889;0.0900366315766865;8.9692976857099;0.000000000000000000298411045025259;"M2_logistic_accessibility";"Accessibility and exposure";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_native_range_L3 + z_log_GBIF_10km_cells +      z_GHS_mean_exposure";2.24244177711167;1.87966496967175;2.67523479176924;;
"(Intercept)";-3.432089675931;0.203756698039782;-16.8440581779594;0.00000000000000000000000000000000000000000000000000000000000000116001106868675;"M2_phylo_accessibility";"Accessibility and exposure";"Phylogenetic logistic MPLE";"Research_studied_binary ~ z_log_native_range_L3 + z_log_GBIF_10km_cells +      z_GHS_mean_exposure";0.0323193332258293;0.0216780987109892;0.0481840826581662;;
"z_log_native_range_L3";-0.0723620444406006;0.0958373886806055;-0.755050251648232;0.450218831146469;"M2_phylo_accessibility";"Accessibility and exposure";"Phylogenetic logistic MPLE";"Research_studied_binary ~ z_log_native_range_L3 + z_log_GBIF_10km_cells +      z_GHS_mean_exposure";0.930194063251427;0.770894826709691;1.12241121010149;;
"z_log_GBIF_10km_cells";1.36701595242673;0.136360617845094;10.025005562674;0.0000000000000000000000118352938069724;"M2_phylo_accessibility";"Accessibility and exposure";"Phylogenetic logistic MPLE";"Research_studied_binary ~ z_log_native_range_L3 + z_log_GBIF_10km_cells +      z_GHS_mean_exposure";3.92362492560629;3.00341249773294;5.12578028108339;;
"z_GHS_mean_exposure";0.782918538988222;0.0958281790688072;8.17002416821534;0.000000000000000308327682699783;"M2_phylo_accessibility";"Accessibility and exposure";"Phylogenetic logistic MPLE";"Research_studied_binary ~ z_log_native_range_L3 + z_log_GBIF_10km_cells +      z_GHS_mean_exposure";2.18784827715024;1.81320374957238;2.63990193322629;;
"(Intercept)";-3.56457490780558;0.289525287648217;-12.31179126618;0.000000000000000000000000000000000078266581952956;"M3_logistic_combined";"Combined sensitivity";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_native_range_L3 + z_Palm_stature_PC1 +      z_Fruit_size_PC1 + z_log_GBIF_10km_cells + z_GHS_mean_exposure";0.0283090168688846;0.0160500314228817;0.0499313935884433;;
"z_log_native_range_L3";-0.1935389004957;0.127320959929087;-1.52008672101981;0.128489181543424;"M3_logistic_combined";"Combined sensitivity";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_native_range_L3 + z_Palm_stature_PC1 +      z_Fruit_size_PC1 + z_log_GBIF_10km_cells + z_GHS_mean_exposure";0.824037780093495;0.642050715724444;1.05760845115675;;
"z_Palm_stature_PC1";0.830339327465453;0.151863059400296;5.4676847071595;0.0000000455951981519602;"M3_logistic_combined";"Combined sensitivity";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_native_range_L3 + z_Palm_stature_PC1 +      z_Fruit_size_PC1 + z_log_GBIF_10km_cells + z_GHS_mean_exposure";2.29409705834468;1.70350472367916;3.0894433340573;;
"z_Fruit_size_PC1";-0.00271233170558307;0.128563111504605;-0.021097278012643;0.983168056244067;"M3_logistic_combined";"Combined sensitivity";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_native_range_L3 + z_Palm_stature_PC1 +      z_Fruit_size_PC1 + z_log_GBIF_10km_cells + z_GHS_mean_exposure";0.997291343342657;0.775152084935508;1.28309017396109;;
"z_log_GBIF_10km_cells";1.30063879303386;0.188001676655469;6.91822975290483;0.00000000000457322187953903;"M3_logistic_combined";"Combined sensitivity";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_native_range_L3 + z_Palm_stature_PC1 +      z_Fruit_size_PC1 + z_log_GBIF_10km_cells + z_GHS_mean_exposure";3.67164133756936;2.53997822152045;5.30750618156021;;
"z_GHS_mean_exposure";0.773441853315088;0.120491658411438;6.41904894921481;0.000000000137128315300667;"M3_logistic_combined";"Combined sensitivity";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_native_range_L3 + z_Palm_stature_PC1 +      z_Fruit_size_PC1 + z_log_GBIF_10km_cells + z_GHS_mean_exposure";2.16721265979286;1.71134259004222;2.74451809947099;;
"(Intercept)";-3.54909693091658;0.198731387705402;-17.8587638917801;0.000000000000000000000000000000000000000000000000000000000000000000000024705005734273;"M3_phylo_combined";"Combined sensitivity";"Phylogenetic logistic MPLE";"Research_studied_binary ~ z_log_native_range_L3 + z_Palm_stature_PC1 +      z_Fruit_size_PC1 + z_log_GBIF_10km_cells + z_GHS_mean_exposure";0.028750591704727;0.0194752577807159;0.0424434188588969;;
"z_log_native_range_L3";-0.194156269651993;0.10250612131973;-1.89409439311819;0.0582124818285314;"M3_phylo_combined";"Combined sensitivity";"Phylogenetic logistic MPLE";"Research_studied_binary ~ z_log_native_range_L3 + z_Palm_stature_PC1 +      z_Fruit_size_PC1 + z_log_GBIF_10km_cells + z_GHS_mean_exposure";0.823529201590939;0.673634050407898;1.00677859954132;;
"z_Palm_stature_PC1";0.773589186487089;0.136444848760216;5.66961078792042;0.0000000143122278230449;"M3_phylo_combined";"Combined sensitivity";"Phylogenetic logistic MPLE";"Research_studied_binary ~ z_log_native_range_L3 + z_Palm_stature_PC1 +      z_Fruit_size_PC1 + z_log_GBIF_10km_cells + z_GHS_mean_exposure";2.16753198563149;1.65890423152913;2.83210737512252;;
"z_Fruit_size_PC1";0.0237332404778958;0.103753021812013;0.228747462612678;0.819065202828106;"M3_phylo_combined";"Combined sensitivity";"Phylogenetic logistic MPLE";"Research_studied_binary ~ z_log_native_range_L3 + z_Palm_stature_PC1 +      z_Fruit_size_PC1 + z_log_GBIF_10km_cells + z_GHS_mean_exposure";1.02401711513626;0.835585433133962;1.25494175761185;;
"z_log_GBIF_10km_cells";1.33749447573517;0.147675664794799;9.05697277607432;0.000000000000000000134121061861058;"M3_phylo_combined";"Combined sensitivity";"Phylogenetic logistic MPLE";"Research_studied_binary ~ z_log_native_range_L3 + z_Palm_stature_PC1 +      z_Fruit_size_PC1 + z_log_GBIF_10km_cells + z_GHS_mean_exposure";3.80948677650271;2.85208462062386;5.08827451871838;;
"z_GHS_mean_exposure";0.735348370767595;0.112133839792326;6.55777392560064;0.0000000000546169240091868;"M3_phylo_combined";"Combined sensitivity";"Phylogenetic logistic MPLE";"Research_studied_binary ~ z_log_native_range_L3 + z_Palm_stature_PC1 +      z_Fruit_size_PC1 + z_log_GBIF_10km_cells + z_GHS_mean_exposure";2.08620864003159;1.67458612429918;2.59901024294221;;
"(Intercept)";-2.51997629767565;0.385360875726897;-6.53926347069428;0.0000000000618225310647469;"RANGE_native_L3_matched";"Range sensitivity; matched sample";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_native_range_L3 + Native_Southern_America +      Native_Africa + Native_Asia_tropical + Native_Pacific + Native_Asia_temperate +      Native_Northern_America + Native_Australasia";0.0804615138518297;0.037806145352773;0.171243461900655;2527;171
"z_log_native_range_L3";0.647868915427771;0.0882284515871835;7.34308382129516;0.000000000000208727712550954;"RANGE_native_L3_matched";"Range sensitivity; matched sample";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_native_range_L3 + Native_Southern_America +      Native_Africa + Native_Asia_tropical + Native_Pacific + Native_Asia_temperate +      Native_Northern_America + Native_Australasia";1.91146299615236;1.60791956914428;2.27230942130035;2527;171
"Native_Southern_America";-0.0188205457459746;0.449521468326488;-0.0418679575327983;0.966603960174165;"RANGE_native_L3_matched";"Range sensitivity; matched sample";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_native_range_L3 + Native_Southern_America +      Native_Africa + Native_Asia_tropical + Native_Pacific + Native_Asia_temperate +      Native_Northern_America + Native_Australasia";0.981355454853134;0.406617384197625;2.36846373568213;2527;171
"Native_Africa";-0.396804307676866;0.617045190161695;-0.643071713390852;0.52017756796094;"RANGE_native_L3_matched";"Range sensitivity; matched sample";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_native_range_L3 + Native_Southern_America +      Native_Africa + Native_Asia_tropical + Native_Pacific + Native_Asia_temperate +      Native_Northern_America + Native_Australasia";0.672465609114574;0.200646047610231;2.25376976435781;2527;171
"Native_Asia_tropical";-1.26981261972832;0.501045108629849;-2.53432794344751;0.0112663239060307;"RANGE_native_L3_matched";"Range sensitivity; matched sample";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_native_range_L3 + Native_Southern_America +      Native_Africa + Native_Asia_tropical + Native_Pacific + Native_Asia_temperate +      Native_Northern_America + Native_Australasia";0.280884249014465;0.10520325557333;0.749938401758177;2527;171
"Native_Pacific";-0.200771638382788;0.622446646641736;-0.322552365678254;0.747034273576608;"RANGE_native_L3_matched";"Range sensitivity; matched sample";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_native_range_L3 + Native_Southern_America +      Native_Africa + Native_Asia_tropical + Native_Pacific + Native_Asia_temperate +      Native_Northern_America + Native_Australasia";0.818099232687759;0.241528677434021;2.77104301499408;2527;171
"Native_Asia_temperate";0.755624279002328;0.337315926187508;2.24010851649587;0.0250838787795046;"RANGE_native_L3_matched";"Range sensitivity; matched sample";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_native_range_L3 + Native_Southern_America +      Native_Africa + Native_Asia_tropical + Native_Pacific + Native_Asia_temperate +      Native_Northern_America + Native_Australasia";2.12894016123165;1.09909274660372;4.12375227123507;2527;171
"Native_Northern_America";0.328806699546947;0.29371227232973;1.11948573663214;0.262932972513617;"RANGE_native_L3_matched";"Range sensitivity; matched sample";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_native_range_L3 + Native_Southern_America +      Native_Africa + Native_Asia_tropical + Native_Pacific + Native_Asia_temperate +      Native_Northern_America + Native_Australasia";1.38930927551773;0.781242752933771;2.47065365507875;2527;171
"Native_Australasia";1.30817203141672;0.522913967392145;2.50169647971115;0.0123599838075886;"RANGE_native_L3_matched";"Range sensitivity; matched sample";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_native_range_L3 + Native_Southern_America +      Native_Africa + Native_Asia_tropical + Native_Pacific + Native_Asia_temperate +      Native_Northern_America + Native_Australasia";3.69940513136143;1.32745112393503;10.3096815236212;2527;171
"(Intercept)";-2.25062711641385;0.351267175857874;-6.40716602943987;0.000000000148249355027757;"RANGE_WCVP_total_matched";"Range sensitivity; matched sample";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_WCVP_TDWG_sensitivity + Native_Southern_America +      Native_Africa + Native_Asia_tropical + Native_Pacific + Native_Asia_temperate +      Native_Northern_America + Native_Australasia";0.105333147699243;0.0529127588506898;0.209686137053234;2527;171
"z_log_WCVP_TDWG_sensitivity";0.874020891183167;0.0882214328526862;9.90712645352999;0.0000000000000000000000387634666123114;"RANGE_WCVP_total_matched";"Range sensitivity; matched sample";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_WCVP_TDWG_sensitivity + Native_Southern_America +      Native_Africa + Native_Asia_tropical + Native_Pacific + Native_Asia_temperate +      Native_Northern_America + Native_Australasia";2.3965276834869;2.01598292975916;2.84890554028908;2527;171
"Native_Southern_America";-0.412004817800883;0.414574823416519;-0.993800864233731;0.320319825310549;"RANGE_WCVP_total_matched";"Range sensitivity; matched sample";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_WCVP_TDWG_sensitivity + Native_Southern_America +      Native_Africa + Native_Asia_tropical + Native_Pacific + Native_Asia_temperate +      Native_Northern_America + Native_Australasia";0.662321085113327;0.293883610788441;1.4926630941032;2527;171
"Native_Africa";-0.914568634378142;0.613351683483809;-1.49109990076726;0.13593526839018;"RANGE_WCVP_total_matched";"Range sensitivity; matched sample";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_WCVP_TDWG_sensitivity + Native_Southern_America +      Native_Africa + Native_Asia_tropical + Native_Pacific + Native_Asia_temperate +      Native_Northern_America + Native_Australasia";0.400689432462982;0.12042381893272;1.33322479481576;2527;171
"Native_Asia_tropical";-1.69019830127731;0.475925601057665;-3.55139185099757;0.000383199439652385;"RANGE_WCVP_total_matched";"Range sensitivity; matched sample";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_WCVP_TDWG_sensitivity + Native_Southern_America +      Native_Africa + Native_Asia_tropical + Native_Pacific + Native_Asia_temperate +      Native_Northern_America + Native_Australasia";0.18448293716342;0.0725838757192033;0.468891386237154;2527;171
"Native_Pacific";-0.611687152071281;0.657752265235789;-0.929965861618135;0.352388760297026;"RANGE_WCVP_total_matched";"Range sensitivity; matched sample";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_WCVP_TDWG_sensitivity + Native_Southern_America +      Native_Africa + Native_Asia_tropical + Native_Pacific + Native_Asia_temperate +      Native_Northern_America + Native_Australasia";0.542434926414854;0.149436818840048;1.96896355047298;2527;171
"Native_Asia_temperate";0.256140239507503;0.303049164490127;0.845210182111714;0.397993498340484;"RANGE_WCVP_total_matched";"Range sensitivity; matched sample";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_WCVP_TDWG_sensitivity + Native_Southern_America +      Native_Africa + Native_Asia_tropical + Native_Pacific + Native_Asia_temperate +      Native_Northern_America + Native_Australasia";1.29193389540921;0.71331217385589;2.33991967511887;2527;171
"Native_Northern_America";-0.0188013428824951;0.273702094623241;-0.0686927256014452;0.945234208656575;"RANGE_WCVP_total_matched";"Range sensitivity; matched sample";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_WCVP_TDWG_sensitivity + Native_Southern_America +      Native_Africa + Native_Asia_tropical + Native_Pacific + Native_Asia_temperate +      Native_Northern_America + Native_Australasia";0.981374299868897;0.57392448626645;1.67808751759032;2527;171
"Native_Australasia";0.900873392558255;0.467217917179901;1.92816533662894;0.0538345642553799;"RANGE_WCVP_total_matched";"Range sensitivity; matched sample";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_WCVP_TDWG_sensitivity + Native_Southern_America +      Native_Africa + Native_Asia_tropical + Native_Pacific + Native_Asia_temperate +      Native_Northern_America + Native_Australasia";2.4617522485942;0.985236342354893;6.15103592197337;2527;171
